close,pH,DO,date,time,datetime
25.875,7,97,7/8/13,46:39.3,40001 0.657399351851852
25.875,7,97,7/8/13,50:03.2,40001 0.65975900462963
25.875,7,97,7/8/13,55:03.4,40001 0.663234074074074
25.875,7,97,7/8/13,00:55.7,40001 0.667310821759259
25.812,7,97,7/8/13,05:03.9,40001 0.670184421296296
25.875,7,97,7/8/13,10:03.2,40001 0.673648275462963
25.875,7,97,7/8/13,15:03.5,40001 0.677123414351852
25.875,7,97,7/8/13,20:55.9,40001 0.681203055555556
25.875,7,97,7/8/13,25:03.2,40001 0.684064988425926
25.875,7,97,7/8/13,30:03.5,40001 0.687540462962963
25.875,7,97,7/8/13,35:03.8,40001 0.691015717592593
25.875,7,97,7/8/13,40:56.0,40001 0.695092222222222
25.875,7,97,7/8/13,45:03.2,40001 0.697954039351852
25.875,7,97,7/8/13,50:03.5,40001 0.701429178240741
25.875,7,97,7/8/13,55:03.8,40001 0.704904537037037
25.875,7,97,7/8/13,00:56.1,40001 0.70898212962963
25.875,7,97,7/8/13,05:03.3,40001 0.711844270833333
25.875,7,97,7/8/13,10:03.6,40001 0.715319479166667
25.875,7,97,7/8/13,15:03.9,40001 0.718794953703704
25.875,7,97,7/8/13,20:55.5,40001 0.722864444444444
25.875,7,97,7/8/13,25:03.8,40001 0.725737939814815
25.875,7,97,7/8/13,30:04.0,40001 0.729213333333333
25.875,7,97,7/8/13,35:03.4,40001 0.732677662037037
25.875,7,97,7/8/13,40:55.6,40001 0.736754560185185
25.875,7,97,7/8/13,45:03.9,40001 0.739628078703704
25.875,7,97,7/8/13,50:03.2,40001 0.743092141203704
25.875,7,97,7/8/13,55:03.5,40001 0.746568344907407
25.875,7,97,7/8/13,00:56.2,40001 0.750650069444444
25.875,7,97,7/8/13,05:03.5,40001 0.753512858796296
25.875,7,97,7/8/13,10:03.8,40001 0.756988425925926
25.875,7,97,7/8/13,15:04.1,40001 0.760464293981482
25.875,7,97,7/8/13,20:55.5,40001 0.764531701388889
25.875,7,97,7/8/13,25:03.8,40001 0.767405335648148
25.875,7,97,7/8/13,30:04.1,40001 0.770880960648148
25.875,7,97,7/8/13,35:03.4,40001 0.774345069444444
25.875,7,97,7/8/13,40:55.8,40001 0.778423530092593
25.875,7,97,7/8/13,45:04.1,40001 0.781298009259259
25.875,7,97,7/8/13,50:03.5,40001 0.784762546296296
25.875,7,97,7/8/13,55:03.8,40001 0.788238449074074
25.875,7,97,7/8/13,00:56.6,40001 0.792321377314815
25.875,7,97,7/8/13,05:03.9,40001 0.795184050925926
25.875,7,97,7/8/13,10:03.3,40001 0.798649050925926
25.875,7,97,7/8/13,15:03.5,40001 0.80212412037037
25.875,7,97,7/8/13,20:55.9,40001 0.806202615740741
25.875,7,97,7/8/13,25:03.2,40001 0.809064293981481
25.875,7,97,7/8/13,30:03.4,40001 0.812539421296296
25.875,7,97,7/8/13,35:03.7,40001 0.816014768518519
25.875,7,97,7/8/13,40:55.9,40001 0.820091747685185
25.875,7,97,7/8/13,45:03.2,40001 0.822953668981481
25.937,7,97,7/8/13,50:03.4,40001 0.826428784722222
25.937,7,97,7/8/13,55:03.7,40001 0.829903900462963
25.937,7,97,7/8/13,00:56.1,40001 0.833982731481481
25.875,7,97,7/8/13,05:03.4,40001 0.836844490740741
25.937,7,97,7/8/13,10:03.6,40001 0.840320011574074
25.937,7,97,7/8/13,15:03.9,40001 0.84379537037037
25.937,7,97,7/8/13,20:55.4,40001 0.847863078703704
