temp,pH,DO,date,time,datetime
25.875,7,97,7/8/2013,15:46:39,7/8/2013 15:46:39
25.875,7,97,7/8/2013,15:50:03,7/8/2013 15:50:03
25.875,7,97,7/8/2013,15:55:03,7/8/2013 15:55:03
25.875,7,97,7/8/2013,16:00:55,7/8/2013 16:00:55
25.812,7,97,7/8/2013,16:05:03,7/8/2013 16:05:03
25.875,7,97,7/8/2013,16:10:03,7/8/2013 16:10:03
25.875,7,97,7/8/2013,16:15:03,7/8/2013 16:15:03
25.875,7,97,7/8/2013,16:20:55,7/8/2013 16:20:55
25.875,7,97,7/8/2013,16:25:03,7/8/2013 16:25:03
25.875,7,97,7/8/2013,16:30:03,7/8/2013 16:30:03
25.875,7,97,7/8/2013,16:35:03,7/8/2013 16:35:03
25.875,7,97,7/8/2013,16:40:55,7/8/2013 16:40:55
25.875,7,97,7/8/2013,16:45:03,7/8/2013 16:45:03
25.875,7,97,7/8/2013,16:50:03,7/8/2013 16:50:03
25.875,7,97,7/8/2013,16:55:03,7/8/2013 16:55:03
25.875,7,97,7/8/2013,17:00:56,7/8/2013 17:00:56
25.875,7,97,7/8/2013,17:05:03,7/8/2013 17:05:03
25.875,7,97,7/8/2013,17:10:03,7/8/2013 17:10:03
25.875,7,97,7/8/2013,17:15:03,7/8/2013 17:15:03
25.875,7,97,7/8/2013,17:20:55,7/8/2013 17:20:55
25.875,7,97,7/8/2013,17:25:03,7/8/2013 17:25:03
25.875,7,97,7/8/2013,17:30:04,7/8/2013 17:30:04
25.875,7,97,7/8/2013,17:35:03,7/8/2013 17:35:03
25.875,7,97,7/8/2013,17:40:55,7/8/2013 17:40:55
25.875,7,97,7/8/2013,17:45:03,7/8/2013 17:45:03
25.875,7,97,7/8/2013,17:50:03,7/8/2013 17:50:03
25.875,7,97,7/8/2013,17:55:03,7/8/2013 17:55:03
25.875,7,97,7/8/2013,18:00:56,7/8/2013 18:00:56
25.875,7,97,7/8/2013,18:05:03,7/8/2013 18:05:03
25.875,7,97,7/8/2013,18:10:03,7/8/2013 18:10:03
25.875,7,97,7/8/2013,18:15:04,7/8/2013 18:15:04
25.875,7,97,7/8/2013,18:20:55,7/8/2013 18:20:55
25.875,7,97,7/8/2013,18:25:03,7/8/2013 18:25:03
25.875,7,97,7/8/2013,18:30:04,7/8/2013 18:30:04
25.875,7,97,7/8/2013,18:35:03,7/8/2013 18:35:03
25.875,7,97,7/8/2013,18:40:55,7/8/2013 18:40:55
25.875,7,97,7/8/2013,18:45:04,7/8/2013 18:45:04
25.875,7,97,7/8/2013,18:50:03,7/8/2013 18:50:03
25.875,7,97,7/8/2013,18:55:03,7/8/2013 18:55:03
25.875,7,97,7/8/2013,19:00:56,7/8/2013 19:00:56
25.875,7,97,7/8/2013,19:05:03,7/8/2013 19:05:03
25.875,7,97,7/8/2013,19:10:03,7/8/2013 19:10:03
25.875,7,97,7/8/2013,19:15:03,7/8/2013 19:15:03
25.875,7,97,7/8/2013,19:20:55,7/8/2013 19:20:55
25.875,7,97,7/8/2013,19:25:03,7/8/2013 19:25:03
25.875,7,97,7/8/2013,19:30:03,7/8/2013 19:30:03
25.875,7,97,7/8/2013,19:35:03,7/8/2013 19:35:03
25.875,7,97,7/8/2013,19:40:55,7/8/2013 19:40:55
25.875,7,97,7/8/2013,19:45:03,7/8/2013 19:45:03
25.937,7,97,7/8/2013,19:50:03,7/8/2013 19:50:03
25.937,7,97,7/8/2013,19:55:03,7/8/2013 19:55:03
25.937,7,97,7/8/2013,20:00:56,7/8/2013 20:00:56
25.875,7,97,7/8/2013,20:05:03,7/8/2013 20:05:03
25.937,7,97,7/8/2013,20:10:03,7/8/2013 20:10:03
25.937,7,97,7/8/2013,20:15:03,7/8/2013 20:15:03
25.937,7,97,7/8/2013,20:20:55,7/8/2013 20:20:55
25.937,7,97,7/8/2013,20:25:03,7/8/2013 20:25:03
25.937,7,97,7/8/2013,20:30:03,7/8/2013 20:30:03
25.937,7,97,7/8/2013,20:35:03,7/8/2013 20:35:03
25.937,7,97,7/8/2013,20:40:55,7/8/2013 20:40:55
25.937,7,97,7/8/2013,20:45:03,7/8/2013 20:45:03
25.937,7,97,7/8/2013,20:50:03,7/8/2013 20:50:03
25.937,7,97,7/8/2013,20:55:03,7/8/2013 20:55:03
25.937,7,97,7/8/2013,21:00:55,7/8/2013 21:00:55
26,7,97,7/8/2013,21:05:04,7/8/2013 21:05:04
25.937,7,97,7/8/2013,21:10:03,7/8/2013 21:10:03
26,7,97,7/8/2013,21:15:03,7/8/2013 21:15:03
26,7,97,7/8/2013,21:20:55,7/8/2013 21:20:55
26,7,97,7/8/2013,21:25:03,7/8/2013 21:25:03
26,7,97,7/8/2013,21:30:03,7/8/2013 21:30:03
26,7,97,7/8/2013,21:35:03,7/8/2013 21:35:03
26,7,97,7/8/2013,21:40:56,7/8/2013 21:40:56
26,7,97,7/8/2013,21:45:03,7/8/2013 21:45:03
26,7,97,7/8/2013,21:50:03,7/8/2013 21:50:03
26,7,97,7/8/2013,21:55:03,7/8/2013 21:55:03
26,7,97,7/8/2013,22:00:55,7/8/2013 22:00:55
26,7,97,7/8/2013,22:05:03,7/8/2013 22:05:03
26.062,7,97,7/8/2013,22:10:03,7/8/2013 22:10:03
26.062,7,97,7/8/2013,22:15:03,7/8/2013 22:15:03
26,7,97,7/8/2013,22:20:56,7/8/2013 22:20:56
26,7,97,7/8/2013,22:25:03,7/8/2013 22:25:03
26,7,97,7/8/2013,22:30:03,7/8/2013 22:30:03
26.062,7,97,7/8/2013,22:35:04,7/8/2013 22:35:04
26.062,7,97,7/8/2013,22:40:56,7/8/2013 22:40:56
26.062,7,97,7/8/2013,22:45:04,7/8/2013 22:45:04
26.062,7,97,7/8/2013,22:50:03,7/8/2013 22:50:03
26.062,7,97,7/8/2013,22:55:03,7/8/2013 22:55:03
26.062,7,97,7/8/2013,23:00:56,7/8/2013 23:00:56
26.062,7,97,7/8/2013,23:05:03,7/8/2013 23:05:03
26.062,7,97,7/8/2013,23:10:03,7/8/2013 23:10:03
26.062,7,97,7/8/2013,23:15:03,7/8/2013 23:15:03
26.062,7,97,7/8/2013,23:21:00,7/8/2013 23:21:00
26.062,7,97,7/8/2013,23:25:06,7/8/2013 23:25:06
26.062,7,97,7/8/2013,23:30:06,7/8/2013 23:30:06
26.062,7,97,7/8/2013,23:35:06,7/8/2013 23:35:06
26.062,7,97,7/8/2013,23:41:01,7/8/2013 23:41:01
26.062,7,97,7/8/2013,23:45:06,7/8/2013 23:45:06
26.062,7,97,7/8/2013,23:50:06,7/8/2013 23:50:06
26.062,7,97,7/8/2013,23:55:06,7/8/2013 23:55:06
26.062,7,97,7/9/2013,0:01:01,7/9/2013 0:01:01
26.125,7,97,7/9/2013,0:05:06,7/9/2013 0:05:06
26.125,7,97,7/9/2013,0:10:06,7/9/2013 0:10:06
26.125,7,97,7/9/2013,0:15:06,7/9/2013 0:15:06
26.125,7,97,7/9/2013,0:21:01,7/9/2013 0:21:01
26.125,7,97,7/9/2013,0:25:05,7/9/2013 0:25:05
26.125,7,97,7/9/2013,0:30:06,7/9/2013 0:30:06
26.125,7,97,7/9/2013,0:35:06,7/9/2013 0:35:06
26.125,7,97,7/9/2013,0:41:01,7/9/2013 0:41:01
26.125,7,97,7/9/2013,0:45:05,7/9/2013 0:45:05
26.125,7,97,7/9/2013,0:50:05,7/9/2013 0:50:05
26.125,7,97,7/9/2013,0:55:06,7/9/2013 0:55:06
26.125,7,97,7/9/2013,1:01:00,7/9/2013 1:01:00
26.125,7,97,7/9/2013,1:05:06,7/9/2013 1:05:06
26.125,7,97,7/9/2013,1:10:06,7/9/2013 1:10:06
26.125,7,97,7/9/2013,1:15:06,7/9/2013 1:15:06
26.125,7,97,7/9/2013,1:21:00,7/9/2013 1:21:00
26.125,7,97,7/9/2013,1:25:06,7/9/2013 1:25:06
26.125,7,97,7/9/2013,1:30:06,7/9/2013 1:30:06
26.125,7,97,7/9/2013,1:35:06,7/9/2013 1:35:06
26.125,7,97,7/9/2013,1:41:00,7/9/2013 1:41:00
26.125,7,97,7/9/2013,1:45:06,7/9/2013 1:45:06
26.125,7,97,7/9/2013,1:50:06,7/9/2013 1:50:06
26.125,7,97,7/9/2013,1:55:06,7/9/2013 1:55:06
26.125,7,97,7/9/2013,2:01:00,7/9/2013 2:01:00
26.187,7,97,7/9/2013,2:05:05,7/9/2013 2:05:05
26.125,7,97,7/9/2013,2:10:06,7/9/2013 2:10:06
26.187,7,97,7/9/2013,2:15:06,7/9/2013 2:15:06
26.125,7,97,7/9/2013,2:21:00,7/9/2013 2:21:00
26.187,7,97,7/9/2013,2:25:06,7/9/2013 2:25:06
26.125,7,97,7/9/2013,2:30:06,7/9/2013 2:30:06
26.187,7,97,7/9/2013,2:35:05,7/9/2013 2:35:05
26.187,7,97,7/9/2013,2:41:00,7/9/2013 2:41:00
26.187,7,97,7/9/2013,2:45:06,7/9/2013 2:45:06
26.187,7,97,7/9/2013,2:50:06,7/9/2013 2:50:06
26.187,7,97,7/9/2013,2:55:06,7/9/2013 2:55:06
